Game,Units_Sold,Series,Platform,Initial release date,Developer,Publisher,Franchise_Flag,Platform_Group,Initial_Release,Years_Since_Release
animal crossing: new horizons,47820000,Animal Crossing,NINTENDO SWITCH,20-Mar-20,Nintendo EPD,Nintendo,1,CONSOLE,2020-03-20,5.0
wii fit / plus,43800000,Wii,WII,1-Dec-07,Nintendo EAD,Nintendo,1,CONSOLE,2007-12-01,18.0
call of duty: black ops iii,43000000,Call of Duty,MULTI-PLATFORM,6-Nov-15,Treyarch,Activision,1,MULTI,2015-11-06,10.0
call of duty: modern warfare,41000000,Call of Duty,MULTI-PLATFORM,25-Oct-19,Infinity Ward,Activision,1,MULTI,2019-10-25,6.0
stardew valley,41000000,Stardew Valley,MULTI-PLATFORM,26-Feb-16,ConcernedApe,Chucklefish / ConcernedApe,1,MULTI,2016-02-26,9.0
world of warcraft,40600000,Warcraft,PC,23-Nov-04,Blizzard Entertainment,Blizzard Entertainment,1,PC,2004-11-23,21.0
payday 2,40000000,Payday,MULTI-PLATFORM,13-Aug-13,Overkill Software,505 Games,1,MULTI,2013-08-13,12.0
sonic the hedgehog,40000000,Sonic the Hedgehog,MULTI-PLATFORM,23-Jun-91,Sonic Team,Sega,1,MULTI,1991-06-23,34.0
the elder scrolls v: skyrim,40000000,The Elder Scrolls,MULTI-PLATFORM,11-Nov-11,Bethesda Game Studios,Bethesda Softworks,1,MULTI,2011-11-11,14.0
mario kart wii,37380000,Mario Kart,WII,10-Apr-08,Nintendo EAD,Nintendo,1,CONSOLE,2008-04-10,17.0
super smash bros. ultimate,36240000,Super Smash Bros.,NINTENDO SWITCH,7-Dec-18,Bandai Namco Studios / Sora Ltd.,Nintendo,1,CONSOLE,2018-12-07,7.0
the sims 4,36000000,The Sims,MULTI-PLATFORM,2-Sep-14,Maxis,Electronic Arts,1,MULTI,2014-09-02,11.0
tetris (game boy),35000000,Tetris,GAME BOY,14-Jun-89,Nintendo R&D1,Nintendo,1,CONSOLE,1989-06-14,36.0
the legend of zelda: breath of the wild,34510000,The Legend of Zelda,WII U / SWITCH,3-Mar-17,Nintendo EPD,Nintendo,1,CONSOLE,2017-03-03,8.0
hogwarts legacy,34000000,Wizarding World,MULTI-PLATFORM,10-Feb-23,Avalanche Software,Warner Bros. Games,1,MULTI,2023-02-10,2.0
wii sports resort,33140000,Wii,WII,25-Jun-09,Nintendo EAD,Nintendo,1,CONSOLE,2009-06-25,16.0
call of duty: black ops ii,31000000,Call of Duty,MULTI-PLATFORM,12-Nov-12,Treyarch,Activision,1,MULTI,2012-11-12,13.0
new super mario bros.,30800000,Super Mario,NINTENDO DS,15-May-06,Nintendo EAD,Nintendo,1,CONSOLE,2006-05-15,19.0
call of duty: black ops,30720000,Call of Duty,MULTI-PLATFORM,9-Nov-10,Treyarch,Activision,1,MULTI,2010-11-09,15.0
call of duty: modern warfare 3,30710000,Call of Duty,MULTI-PLATFORM,8-Nov-11,Infinity Ward / Sledgehammer,Activision,1,MULTI,2011-11-08,14.0
new super mario bros. wii,30320000,Super Mario,WII,11-Nov-09,Nintendo EAD,Nintendo,1,CONSOLE,2009-11-11,16.0
pokémon gold / silver / crystal,30120000,Pokémon,GAME BOY COLOR,21-Nov-99,Game Freak,Nintendo,1,CONSOLE,1999-11-21,26.0
black myth: wukong,30000000,Black Myth: Wukong,MULTI-PLATFORM,20-Aug-24,Game Science,Game Science,1,MULTI,2024-08-20,1.0
borderlands 2,30000000,Borderlands,MULTI-PLATFORM,18-Sep-12,Gearbox Software,2K Games,1,MULTI,2012-09-18,13.0
call of duty: black ops cold war,30000000,Call of Duty,MULTI-PLATFORM,13-Nov-20,Treyarch / Raven Software,Activision,1,MULTI,2020-11-13,5.0
call of duty: vanguard,30000000,Call of Duty,MULTI-PLATFORM,5-Nov-21,Sledgehammer Games,Activision,1,MULTI,2021-11-05,4.0
cyberpunk 2077,30000000,Cyberpunk,MULTI-PLATFORM,10-Dec-20,CD Projekt Red,CD Projekt,1,MULTI,2020-12-10,5.0
diablo iii,30000000,Diablo,MULTI-PLATFORM,16-May-12,Blizzard Entertainment,Blizzard Entertainment,1,MULTI,2012-05-16,13.0
elden ring,30000000,Elden Ring,MULTI-PLATFORM,25-Feb-22,FromSoftware,Bandai Namco,1,MULTI,2022-02-25,3.0
super mario odyssey,29280000,Super Mario,NINTENDO SWITCH,27-Oct-17,Nintendo EPD,Nintendo,1,CONSOLE,2017-10-27,8.0
call of duty: ghosts,28980000,Call of Duty,MULTI-PLATFORM,5-Nov-13,Infinity Ward,Activision,1,MULTI,2013-11-05,12.0
monster hunter: world,28510000,Monster Hunter,MULTI-PLATFORM,26-Jan-18,Capcom,Capcom,1,MULTI,2018-01-26,7.0
duck hunt,28300000,Duck Hunt,FAMICOM / NES,21-Apr-84,Nintendo R&D1,Nintendo,1,CONSOLE,1984-04-21,41.0
wii play,28020000,Wii,WII,2-Dec-06,Nintendo EAD,Nintendo,1,CONSOLE,2006-12-02,19.0
